deltaT,len_w,name
0.0,0,def3
0.0,0,def3
0.031241655349731445,100,def3
0.06242823600769043,100,def3
0.2030196189880371,200,def3
0.1718306541442871,200,def3
0.46863555908203125,300,def3
0.42177510261535645,300,def3
0.8903956413269043,400,def3
0.9112298488616943,400,def3
1.5621278285980225,500,def3
1.5465106964111328,500,def3
2.5357959270477295,600,def3
2.468116283416748,600,def3
3.849461317062378,700,def3
3.9730911254882812,700,def3
5.597665071487427,800,def3
5.504049062728882,800,def3
7.69145941734314,900,def3
7.6898908615112305,900,def3
10.320645332336426,1000,def3
10.30489730834961,1000,def3
13.465574502944946,1100,def3
13.448974847793579,1100,def3
17.55838942527771,1200,def3
17.406465768814087,1200,def3
21.85848069190979,1300,def3
22.077463150024414,1300,def3
27.09805417060852,1400,def3
26.97310733795166,1400,def3
